sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Hachiman_2	Hachiman	Hachiman	p25.A3|KEFEOMOI_00508	p25.A3|KEFEOMOI_00509	p25.A3|KEFEOMOI_00508,p25.A3|KEFEOMOI_00509	2	HamA_1,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p25.A3|KEFEOMOI_00791	p25.A3|KEFEOMOI_00792	p25.A3|KEFEOMOI_00791,p25.A3|KEFEOMOI_00792	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p25.A3|KEFEOMOI_00794	p25.A3|KEFEOMOI_00795	p25.A3|KEFEOMOI_00794,p25.A3|KEFEOMOI_00795	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p25.A3|KEFEOMOI_00797	p25.A3|KEFEOMOI_00798	p25.A3|KEFEOMOI_00797,p25.A3|KEFEOMOI_00798	2	PRTase_WH,RT_Tot
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p25.A3|KEFEOMOI_02640	p25.A3|KEFEOMOI_02640	p25.A3|KEFEOMOI_02640	1	ATPase
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p25.A3|KEFEOMOI_02727	p25.A3|KEFEOMOI_02730	p25.A3|KEFEOMOI_02727,p25.A3|KEFEOMOI_02730	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p25.A3|KEFEOMOI_03167	p25.A3|KEFEOMOI_03168	p25.A3|KEFEOMOI_03167,p25.A3|KEFEOMOI_03168	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p25.A3|KEFEOMOI_03178	p25.A3|KEFEOMOI_03178	p25.A3|KEFEOMOI_03178	1	Type_IV_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p25.A3|KEFEOMOI_04205	p25.A3|KEFEOMOI_04208	p25.A3|KEFEOMOI_04205,p25.A3|KEFEOMOI_04206,p25.A3|KEFEOMOI_04207,p25.A3|KEFEOMOI_04208	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p25.A3|KEFEOMOI_04821	p25.A3|KEFEOMOI_04821	p25.A3|KEFEOMOI_04821	1	Type_IV_REases
