sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p26.A7|IHHGPIBK_00125	p26.A7|IHHGPIBK_00125	p26.A7|IHHGPIBK_00125	1	Type_IV_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p26.A7|IHHGPIBK_00788	p26.A7|IHHGPIBK_00788	p26.A7|IHHGPIBK_00788	1	ATPase
UserReplicon_Hachiman_2	Hachiman	Hachiman	p26.A7|IHHGPIBK_01553	p26.A7|IHHGPIBK_01554	p26.A7|IHHGPIBK_01553,p26.A7|IHHGPIBK_01554	2	HamB,HamA_1
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p26.A7|IHHGPIBK_03196	p26.A7|IHHGPIBK_03199	p26.A7|IHHGPIBK_03196,p26.A7|IHHGPIBK_03197,p26.A7|IHHGPIBK_03198,p26.A7|IHHGPIBK_03199	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p26.A7|IHHGPIBK_04581	p26.A7|IHHGPIBK_04584	p26.A7|IHHGPIBK_04581,p26.A7|IHHGPIBK_04584	2	Type_I_MTases,Type_I_REases
UserReplicon_Gabija_1	Gabija	Gabija	p26.A7|IHHGPIBK_04807	p26.A7|IHHGPIBK_04808	p26.A7|IHHGPIBK_04807,p26.A7|IHHGPIBK_04808	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p26.A7|IHHGPIBK_04810	p26.A7|IHHGPIBK_04811	p26.A7|IHHGPIBK_04810,p26.A7|IHHGPIBK_04811	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p26.A7|IHHGPIBK_04813	p26.A7|IHHGPIBK_04814	p26.A7|IHHGPIBK_04813,p26.A7|IHHGPIBK_04814	2	PRTase_WH,RT_Tot
UserReplicon_Septu_9	Septu	Septu	p26.A7|IHHGPIBK_05077	p26.A7|IHHGPIBK_05078	p26.A7|IHHGPIBK_05077,p26.A7|IHHGPIBK_05078	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p26.A7|IHHGPIBK_05088	p26.A7|IHHGPIBK_05088	p26.A7|IHHGPIBK_05088	1	Type_IV_REases
