sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p3.C9|BEJFNDJO_00416	p3.C9|BEJFNDJO_00416	p3.C9|BEJFNDJO_00416	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p3.C9|BEJFNDJO_01102	p3.C9|BEJFNDJO_01103	p3.C9|BEJFNDJO_01102,p3.C9|BEJFNDJO_01103	2	HamA_1,HamB
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p3.C9|BEJFNDJO_01189	p3.C9|BEJFNDJO_01192	p3.C9|BEJFNDJO_01189,p3.C9|BEJFNDJO_01190,p3.C9|BEJFNDJO_01191,p3.C9|BEJFNDJO_01192	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p3.C9|BEJFNDJO_01538	p3.C9|BEJFNDJO_01541	p3.C9|BEJFNDJO_01538,p3.C9|BEJFNDJO_01541	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p3.C9|BEJFNDJO_02160	p3.C9|BEJFNDJO_02161	p3.C9|BEJFNDJO_02160,p3.C9|BEJFNDJO_02161	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p3.C9|BEJFNDJO_02171	p3.C9|BEJFNDJO_02171	p3.C9|BEJFNDJO_02171	1	Type_IV_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p3.C9|BEJFNDJO_02796	p3.C9|BEJFNDJO_02796	p3.C9|BEJFNDJO_02796	1	ATPase
UserReplicon_Gabija_1	Gabija	Gabija	p3.C9|BEJFNDJO_04860	p3.C9|BEJFNDJO_04861	p3.C9|BEJFNDJO_04860,p3.C9|BEJFNDJO_04861	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p3.C9|BEJFNDJO_04863	p3.C9|BEJFNDJO_04864	p3.C9|BEJFNDJO_04863,p3.C9|BEJFNDJO_04864	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p3.C9|BEJFNDJO_04866	p3.C9|BEJFNDJO_04867	p3.C9|BEJFNDJO_04866,p3.C9|BEJFNDJO_04867	2	PRTase_WH,RT_Tot
