sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Retron_I_C_5	Retron	Retron_I_C	p6.G2|CLGLKFCB_00522	p6.G2|CLGLKFCB_00522	p6.G2|CLGLKFCB_00522	1	RT_1_C1
UserReplicon_Septu_7	Septu	Septu	p6.G2|CLGLKFCB_00614	p6.G2|CLGLKFCB_00615	p6.G2|CLGLKFCB_00614,p6.G2|CLGLKFCB_00615	2	PtuB,PtuA
UserReplicon_Septu_8	Septu	Septu	p6.G2|CLGLKFCB_01575	p6.G2|CLGLKFCB_01576	p6.G2|CLGLKFCB_01575,p6.G2|CLGLKFCB_01576	2	PtuA,PtuB
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p6.G2|CLGLKFCB_02200	p6.G2|CLGLKFCB_02203	p6.G2|CLGLKFCB_02200,p6.G2|CLGLKFCB_02202,p6.G2|CLGLKFCB_02203	3	Type_I_MTases,Type_I_REases,Type_I_MTases
UserReplicon_dCTPdeaminase_10	dCTPdeaminase	dCTPdeaminase	p6.G2|CLGLKFCB_02563	p6.G2|CLGLKFCB_02563	p6.G2|CLGLKFCB_02563	1	dCTPdeaminase
UserReplicon_Septu_9	Septu	Septu	p6.G2|CLGLKFCB_02569	p6.G2|CLGLKFCB_02570	p6.G2|CLGLKFCB_02569,p6.G2|CLGLKFCB_02570	2	PtuA,PtuB
UserReplicon_Rst_Hp-Tm_6	Rst_Hp-tm	Rst_Hp-Tm	p6.G2|CLGLKFCB_02592	p6.G2|CLGLKFCB_02593	p6.G2|CLGLKFCB_02592,p6.G2|CLGLKFCB_02593	2	Hp-Tm,HP
UserReplicon_PARIS_I_merge_3	PARIS	PARIS_I_merge	p6.G2|CLGLKFCB_02916	p6.G2|CLGLKFCB_02916	p6.G2|CLGLKFCB_02916	1	AAA_15_DUF4435
UserReplicon_CBASS_II_2	CBASS	CBASS_II	p6.G2|CLGLKFCB_04534	p6.G2|CLGLKFCB_04537	p6.G2|CLGLKFCB_04534,p6.G2|CLGLKFCB_04535,p6.G2|CLGLKFCB_04536,p6.G2|CLGLKFCB_04537	4	Effector_2TM_S_2TMBeta,Cyclase_II,AG_E1_ThiF,Jab
UserReplicon_dCTPdeaminase_11	dCTPdeaminase	dCTPdeaminase	p6.G2|CLGLKFCB_04691	p6.G2|CLGLKFCB_04691	p6.G2|CLGLKFCB_04691	1	dCTPdeaminase
