sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_AbiEii_1	AbiEii	AbiEii	p11.F9|HBOKJNAA_00326	p11.F9|HBOKJNAA_00327	p11.F9|HBOKJNAA_00326,p11.F9|HBOKJNAA_00327	2	AbiEi_2,AbiEii
UserReplicon_Septu_8	Septu	Septu	p11.F9|HBOKJNAA_01165	p11.F9|HBOKJNAA_01166	p11.F9|HBOKJNAA_01165,p11.F9|HBOKJNAA_01166	2	PtuB,PtuA
UserReplicon_PARIS_II_merge_3	PARIS	PARIS_II_merge	p11.F9|HBOKJNAA_02380	p11.F9|HBOKJNAA_02380	p11.F9|HBOKJNAA_02380	1	AAA_21_DUF4435
UserReplicon_Septu_9	Septu	Septu	p11.F9|HBOKJNAA_02392	p11.F9|HBOKJNAA_02393	p11.F9|HBOKJNAA_02392,p11.F9|HBOKJNAA_02393	2	PtuB,PtuA
UserReplicon_Septu_10	Septu	Septu	p11.F9|HBOKJNAA_02542	p11.F9|HBOKJNAA_02543	p11.F9|HBOKJNAA_02542,p11.F9|HBOKJNAA_02543	2	PtuA,PtuB
UserReplicon_Septu_11	Septu	Septu	p11.F9|HBOKJNAA_02632	p11.F9|HBOKJNAA_02633	p11.F9|HBOKJNAA_02632,p11.F9|HBOKJNAA_02633	2	PtuB,PtuA
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p11.F9|HBOKJNAA_02635	p11.F9|HBOKJNAA_02636	p11.F9|HBOKJNAA_02635,p11.F9|HBOKJNAA_02636	2	Type_I_MTases,Type_I_REases
UserReplicon_RM_Type_II_5	RM	RM_Type_II	p11.F9|HBOKJNAA_02921	p11.F9|HBOKJNAA_02922	p11.F9|HBOKJNAA_02921,p11.F9|HBOKJNAA_02922	2	Type_II_REases,Type_II_MTases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p11.F9|HBOKJNAA_03438	p11.F9|HBOKJNAA_03439	p11.F9|HBOKJNAA_03438,p11.F9|HBOKJNAA_03439	2	HamB,HamA_2
UserReplicon_Rst_Sirtuin-like_7	Rst_Sirtuin-like	Rst_Sirtuin-like	p11.F9|HBOKJNAA_04871	p11.F9|HBOKJNAA_04871	p11.F9|HBOKJNAA_04871	1	Sirtuin_like
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p11.F9|HBOKJNAA_05398	p11.F9|HBOKJNAA_05399	p11.F9|HBOKJNAA_05398,p11.F9|HBOKJNAA_05399	2	Type_IV_REases,Type_IV_REases
