sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Hachiman_2	Hachiman	Hachiman	p2.D6|HAJPGFBC_00076	p2.D6|HAJPGFBC_00077	p2.D6|HAJPGFBC_00076,p2.D6|HAJPGFBC_00077	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p2.D6|HAJPGFBC_00764	p2.D6|HAJPGFBC_00764	p2.D6|HAJPGFBC_00764	1	ATPase
UserReplicon_Retron_III_7	Retron	Retron_III	p2.D6|HAJPGFBC_02520	p2.D6|HAJPGFBC_02521	p2.D6|HAJPGFBC_02520,p2.D6|HAJPGFBC_02521	2	RT_Tot,PRTase_WH
UserReplicon_Hachiman_3	Hachiman	Hachiman	p2.D6|HAJPGFBC_02523	p2.D6|HAJPGFBC_02524	p2.D6|HAJPGFBC_02523,p2.D6|HAJPGFBC_02524	2	HamA_2,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p2.D6|HAJPGFBC_02526	p2.D6|HAJPGFBC_02527	p2.D6|HAJPGFBC_02526,p2.D6|HAJPGFBC_02527	2	GajB,GajA
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p2.D6|HAJPGFBC_02792	p2.D6|HAJPGFBC_02795	p2.D6|HAJPGFBC_02792,p2.D6|HAJPGFBC_02793,p2.D6|HAJPGFBC_02794,p2.D6|HAJPGFBC_02795	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p2.D6|HAJPGFBC_02987	p2.D6|HAJPGFBC_02990	p2.D6|HAJPGFBC_02987,p2.D6|HAJPGFBC_02990	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p2.D6|HAJPGFBC_03993	p2.D6|HAJPGFBC_03994	p2.D6|HAJPGFBC_03993,p2.D6|HAJPGFBC_03994	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p2.D6|HAJPGFBC_04004	p2.D6|HAJPGFBC_04004	p2.D6|HAJPGFBC_04004	1	Type_IV_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p2.D6|HAJPGFBC_04545	p2.D6|HAJPGFBC_04545	p2.D6|HAJPGFBC_04545	1	Type_IV_REases
