sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Gabija_1	Gabija	Gabija	p8.E6|HNBNFCHJ_00232	p8.E6|HNBNFCHJ_00233	p8.E6|HNBNFCHJ_00232,p8.E6|HNBNFCHJ_00233	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p8.E6|HNBNFCHJ_00235	p8.E6|HNBNFCHJ_00236	p8.E6|HNBNFCHJ_00235,p8.E6|HNBNFCHJ_00236	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p8.E6|HNBNFCHJ_00238	p8.E6|HNBNFCHJ_00239	p8.E6|HNBNFCHJ_00238,p8.E6|HNBNFCHJ_00239	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p8.E6|HNBNFCHJ_00520	p8.E6|HNBNFCHJ_00523	p8.E6|HNBNFCHJ_00520,p8.E6|HNBNFCHJ_00521,p8.E6|HNBNFCHJ_00522,p8.E6|HNBNFCHJ_00523	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p8.E6|HNBNFCHJ_01368	p8.E6|HNBNFCHJ_01368	p8.E6|HNBNFCHJ_01368	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p8.E6|HNBNFCHJ_02903	p8.E6|HNBNFCHJ_02906	p8.E6|HNBNFCHJ_02903,p8.E6|HNBNFCHJ_02906	2	Type_I_REases,Type_I_MTases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p8.E6|HNBNFCHJ_03422	p8.E6|HNBNFCHJ_03422	p8.E6|HNBNFCHJ_03422	1	ATPase
UserReplicon_Septu_9	Septu	Septu	p8.E6|HNBNFCHJ_03920	p8.E6|HNBNFCHJ_03921	p8.E6|HNBNFCHJ_03920,p8.E6|HNBNFCHJ_03921	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p8.E6|HNBNFCHJ_03931	p8.E6|HNBNFCHJ_03931	p8.E6|HNBNFCHJ_03931	1	Type_IV_REases
UserReplicon_Hachiman_3	Hachiman	Hachiman	p8.E6|HNBNFCHJ_04348	p8.E6|HNBNFCHJ_04349	p8.E6|HNBNFCHJ_04348,p8.E6|HNBNFCHJ_04349	2	HamB,HamA_1
