sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p22.H4|ODLHBIDF_00630	p22.H4|ODLHBIDF_00630	p22.H4|ODLHBIDF_00630	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p22.H4|ODLHBIDF_00860	p22.H4|ODLHBIDF_00861	p22.H4|ODLHBIDF_00860,p22.H4|ODLHBIDF_00861	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p22.H4|ODLHBIDF_02693	p22.H4|ODLHBIDF_02693	p22.H4|ODLHBIDF_02693	1	ATPase
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p22.H4|ODLHBIDF_02781	p22.H4|ODLHBIDF_02784	p22.H4|ODLHBIDF_02781,p22.H4|ODLHBIDF_02784	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p22.H4|ODLHBIDF_03906	p22.H4|ODLHBIDF_03907	p22.H4|ODLHBIDF_03906,p22.H4|ODLHBIDF_03907	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p22.H4|ODLHBIDF_03917	p22.H4|ODLHBIDF_03917	p22.H4|ODLHBIDF_03917	1	Type_IV_REases
UserReplicon_Gabija_1	Gabija	Gabija	p22.H4|ODLHBIDF_04534	p22.H4|ODLHBIDF_04535	p22.H4|ODLHBIDF_04534,p22.H4|ODLHBIDF_04535	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p22.H4|ODLHBIDF_04537	p22.H4|ODLHBIDF_04538	p22.H4|ODLHBIDF_04537,p22.H4|ODLHBIDF_04538	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p22.H4|ODLHBIDF_04540	p22.H4|ODLHBIDF_04541	p22.H4|ODLHBIDF_04540,p22.H4|ODLHBIDF_04541	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p22.H4|ODLHBIDF_04822	p22.H4|ODLHBIDF_04825	p22.H4|ODLHBIDF_04822,p22.H4|ODLHBIDF_04823,p22.H4|ODLHBIDF_04824,p22.H4|ODLHBIDF_04825	4	JetD_I,JetC_I,JetB_I,JetA_I
