sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p21.A3|LAMFMBKK_00629	p21.A3|LAMFMBKK_00629	p21.A3|LAMFMBKK_00629	1	Type_IV_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p21.A3|LAMFMBKK_02504	p21.A3|LAMFMBKK_02504	p21.A3|LAMFMBKK_02504	1	ATPase
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p21.A3|LAMFMBKK_02526	p21.A3|LAMFMBKK_02529	p21.A3|LAMFMBKK_02526,p21.A3|LAMFMBKK_02529	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p21.A3|LAMFMBKK_02603	p21.A3|LAMFMBKK_02604	p21.A3|LAMFMBKK_02603,p21.A3|LAMFMBKK_02604	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p21.A3|LAMFMBKK_02614	p21.A3|LAMFMBKK_02614	p21.A3|LAMFMBKK_02614	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p21.A3|LAMFMBKK_03096	p21.A3|LAMFMBKK_03097	p21.A3|LAMFMBKK_03096,p21.A3|LAMFMBKK_03097	2	HamA_1,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p21.A3|LAMFMBKK_04655	p21.A3|LAMFMBKK_04656	p21.A3|LAMFMBKK_04655,p21.A3|LAMFMBKK_04656	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p21.A3|LAMFMBKK_04658	p21.A3|LAMFMBKK_04659	p21.A3|LAMFMBKK_04658,p21.A3|LAMFMBKK_04659	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p21.A3|LAMFMBKK_04661	p21.A3|LAMFMBKK_04662	p21.A3|LAMFMBKK_04661,p21.A3|LAMFMBKK_04662	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p21.A3|LAMFMBKK_04943	p21.A3|LAMFMBKK_04946	p21.A3|LAMFMBKK_04943,p21.A3|LAMFMBKK_04944,p21.A3|LAMFMBKK_04945,p21.A3|LAMFMBKK_04946	4	JetD_I,JetC_I,JetB_I,JetA_I
