sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p22.B5|JEJDBDPB_00414	p22.B5|JEJDBDPB_00414	p22.B5|JEJDBDPB_00414	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p22.B5|JEJDBDPB_00605	p22.B5|JEJDBDPB_00606	p22.B5|JEJDBDPB_00605,p22.B5|JEJDBDPB_00606	2	HamB,HamA_1
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p22.B5|JEJDBDPB_01239	p22.B5|JEJDBDPB_01242	p22.B5|JEJDBDPB_01239,p22.B5|JEJDBDPB_01242	2	Type_I_MTases,Type_I_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p22.B5|JEJDBDPB_01680	p22.B5|JEJDBDPB_01683	p22.B5|JEJDBDPB_01680,p22.B5|JEJDBDPB_01681,p22.B5|JEJDBDPB_01682,p22.B5|JEJDBDPB_01683	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p22.B5|JEJDBDPB_02837	p22.B5|JEJDBDPB_02837	p22.B5|JEJDBDPB_02837	1	ATPase
UserReplicon_Septu_9	Septu	Septu	p22.B5|JEJDBDPB_04288	p22.B5|JEJDBDPB_04289	p22.B5|JEJDBDPB_04288,p22.B5|JEJDBDPB_04289	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p22.B5|JEJDBDPB_04299	p22.B5|JEJDBDPB_04299	p22.B5|JEJDBDPB_04299	1	Type_IV_REases
UserReplicon_Gabija_1	Gabija	Gabija	p22.B5|JEJDBDPB_04811	p22.B5|JEJDBDPB_04812	p22.B5|JEJDBDPB_04811,p22.B5|JEJDBDPB_04812	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p22.B5|JEJDBDPB_04814	p22.B5|JEJDBDPB_04815	p22.B5|JEJDBDPB_04814,p22.B5|JEJDBDPB_04815	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p22.B5|JEJDBDPB_04817	p22.B5|JEJDBDPB_04818	p22.B5|JEJDBDPB_04817,p22.B5|JEJDBDPB_04818	2	PRTase_WH,RT_Tot
