sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p5.H6|CEIBOPDN_00125	p5.H6|CEIBOPDN_00125	p5.H6|CEIBOPDN_00125	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p5.H6|CEIBOPDN_00830	p5.H6|CEIBOPDN_00831	p5.H6|CEIBOPDN_00830,p5.H6|CEIBOPDN_00831	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p5.H6|CEIBOPDN_01113	p5.H6|CEIBOPDN_01113	p5.H6|CEIBOPDN_01113	1	ATPase
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p5.H6|CEIBOPDN_02220	p5.H6|CEIBOPDN_02223	p5.H6|CEIBOPDN_02220,p5.H6|CEIBOPDN_02221,p5.H6|CEIBOPDN_02222,p5.H6|CEIBOPDN_02223	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_Septu_9	Septu	Septu	p5.H6|CEIBOPDN_04202	p5.H6|CEIBOPDN_04203	p5.H6|CEIBOPDN_04202,p5.H6|CEIBOPDN_04203	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p5.H6|CEIBOPDN_04213	p5.H6|CEIBOPDN_04213	p5.H6|CEIBOPDN_04213	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p5.H6|CEIBOPDN_04543	p5.H6|CEIBOPDN_04546	p5.H6|CEIBOPDN_04543,p5.H6|CEIBOPDN_04546	2	Type_I_MTases,Type_I_REases
UserReplicon_Retron_III_7	Retron	Retron_III	p5.H6|CEIBOPDN_05131	p5.H6|CEIBOPDN_05132	p5.H6|CEIBOPDN_05131,p5.H6|CEIBOPDN_05132	2	RT_Tot,PRTase_WH
UserReplicon_Hachiman_3	Hachiman	Hachiman	p5.H6|CEIBOPDN_05134	p5.H6|CEIBOPDN_05135	p5.H6|CEIBOPDN_05134,p5.H6|CEIBOPDN_05135	2	HamA_2,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p5.H6|CEIBOPDN_05137	p5.H6|CEIBOPDN_05138	p5.H6|CEIBOPDN_05137,p5.H6|CEIBOPDN_05138	2	GajB,GajA
