sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p26.F5|FGFOIGPG_00472	p26.F5|FGFOIGPG_00472	p26.F5|FGFOIGPG_00472	1	Type_IV_REases
UserReplicon_Septu_9	Septu	Septu	p26.F5|FGFOIGPG_02017	p26.F5|FGFOIGPG_02018	p26.F5|FGFOIGPG_02017,p26.F5|FGFOIGPG_02018	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p26.F5|FGFOIGPG_02028	p26.F5|FGFOIGPG_02028	p26.F5|FGFOIGPG_02028	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p26.F5|FGFOIGPG_02998	p26.F5|FGFOIGPG_02999	p26.F5|FGFOIGPG_02998,p26.F5|FGFOIGPG_02999	2	HamB,HamA_1
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p26.F5|FGFOIGPG_03191	p26.F5|FGFOIGPG_03194	p26.F5|FGFOIGPG_03191,p26.F5|FGFOIGPG_03194	2	Type_I_MTases,Type_I_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p26.F5|FGFOIGPG_03337	p26.F5|FGFOIGPG_03340	p26.F5|FGFOIGPG_03337,p26.F5|FGFOIGPG_03338,p26.F5|FGFOIGPG_03339,p26.F5|FGFOIGPG_03340	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p26.F5|FGFOIGPG_04463	p26.F5|FGFOIGPG_04463	p26.F5|FGFOIGPG_04463	1	ATPase
UserReplicon_Gabija_1	Gabija	Gabija	p26.F5|FGFOIGPG_05238	p26.F5|FGFOIGPG_05239	p26.F5|FGFOIGPG_05238,p26.F5|FGFOIGPG_05239	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p26.F5|FGFOIGPG_05241	p26.F5|FGFOIGPG_05242	p26.F5|FGFOIGPG_05241,p26.F5|FGFOIGPG_05242	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p26.F5|FGFOIGPG_05244	p26.F5|FGFOIGPG_05245	p26.F5|FGFOIGPG_05244,p26.F5|FGFOIGPG_05245	2	PRTase_WH,RT_Tot
