sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p7.B4|ADCAPBGE_00352	p7.B4|ADCAPBGE_00352	p7.B4|ADCAPBGE_00352	1	ATPase
UserReplicon_Gabija_1	Gabija	Gabija	p7.B4|ADCAPBGE_00760	p7.B4|ADCAPBGE_00761	p7.B4|ADCAPBGE_00760,p7.B4|ADCAPBGE_00761	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p7.B4|ADCAPBGE_00763	p7.B4|ADCAPBGE_00764	p7.B4|ADCAPBGE_00763,p7.B4|ADCAPBGE_00764	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p7.B4|ADCAPBGE_00766	p7.B4|ADCAPBGE_00767	p7.B4|ADCAPBGE_00766,p7.B4|ADCAPBGE_00767	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p7.B4|ADCAPBGE_01048	p7.B4|ADCAPBGE_01051	p7.B4|ADCAPBGE_01048,p7.B4|ADCAPBGE_01049,p7.B4|ADCAPBGE_01050,p7.B4|ADCAPBGE_01051	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p7.B4|ADCAPBGE_02662	p7.B4|ADCAPBGE_02665	p7.B4|ADCAPBGE_02662,p7.B4|ADCAPBGE_02665	2	Type_I_MTases,Type_I_REases
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p7.B4|ADCAPBGE_02851	p7.B4|ADCAPBGE_02851	p7.B4|ADCAPBGE_02851	1	Type_IV_REases
UserReplicon_Septu_9	Septu	Septu	p7.B4|ADCAPBGE_04121	p7.B4|ADCAPBGE_04122	p7.B4|ADCAPBGE_04121,p7.B4|ADCAPBGE_04122	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p7.B4|ADCAPBGE_04132	p7.B4|ADCAPBGE_04132	p7.B4|ADCAPBGE_04132	1	Type_IV_REases
UserReplicon_Hachiman_3	Hachiman	Hachiman	p7.B4|ADCAPBGE_04505	p7.B4|ADCAPBGE_04506	p7.B4|ADCAPBGE_04505,p7.B4|ADCAPBGE_04506	2	HamB,HamA_1
