sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p22.G4|MLEJOFNN_00474	p22.G4|MLEJOFNN_00474	p22.G4|MLEJOFNN_00474	1	Type_IV_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p22.G4|MLEJOFNN_01315	p22.G4|MLEJOFNN_01318	p22.G4|MLEJOFNN_01315,p22.G4|MLEJOFNN_01316,p22.G4|MLEJOFNN_01317,p22.G4|MLEJOFNN_01318	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_Septu_9	Septu	Septu	p22.G4|MLEJOFNN_02000	p22.G4|MLEJOFNN_02001	p22.G4|MLEJOFNN_02000,p22.G4|MLEJOFNN_02001	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p22.G4|MLEJOFNN_02011	p22.G4|MLEJOFNN_02011	p22.G4|MLEJOFNN_02011	1	Type_IV_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p22.G4|MLEJOFNN_02394	p22.G4|MLEJOFNN_02394	p22.G4|MLEJOFNN_02394	1	ATPase
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p22.G4|MLEJOFNN_02827	p22.G4|MLEJOFNN_02830	p22.G4|MLEJOFNN_02827,p22.G4|MLEJOFNN_02830	2	Type_I_MTases,Type_I_REases
UserReplicon_Gabija_1	Gabija	Gabija	p22.G4|MLEJOFNN_04281	p22.G4|MLEJOFNN_04282	p22.G4|MLEJOFNN_04281,p22.G4|MLEJOFNN_04282	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p22.G4|MLEJOFNN_04284	p22.G4|MLEJOFNN_04285	p22.G4|MLEJOFNN_04284,p22.G4|MLEJOFNN_04285	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p22.G4|MLEJOFNN_04287	p22.G4|MLEJOFNN_04288	p22.G4|MLEJOFNN_04287,p22.G4|MLEJOFNN_04288	2	PRTase_WH,RT_Tot
UserReplicon_Hachiman_3	Hachiman	Hachiman	p22.G4|MLEJOFNN_04510	p22.G4|MLEJOFNN_04511	p22.G4|MLEJOFNN_04510,p22.G4|MLEJOFNN_04511	2	HamB,HamA_1
