sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p24.A1|DPAGODLP_00005	p24.A1|DPAGODLP_00005	p24.A1|DPAGODLP_00005	1	ATPase
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p24.A1|DPAGODLP_00367	p24.A1|DPAGODLP_00370	p24.A1|DPAGODLP_00367,p24.A1|DPAGODLP_00370	2	Type_I_MTases,Type_I_REases
UserReplicon_Gabija_1	Gabija	Gabija	p24.A1|DPAGODLP_00589	p24.A1|DPAGODLP_00590	p24.A1|DPAGODLP_00589,p24.A1|DPAGODLP_00590	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p24.A1|DPAGODLP_00592	p24.A1|DPAGODLP_00593	p24.A1|DPAGODLP_00592,p24.A1|DPAGODLP_00593	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p24.A1|DPAGODLP_00595	p24.A1|DPAGODLP_00596	p24.A1|DPAGODLP_00595,p24.A1|DPAGODLP_00596	2	PRTase_WH,RT_Tot
UserReplicon_Septu_9	Septu	Septu	p24.A1|DPAGODLP_02278	p24.A1|DPAGODLP_02279	p24.A1|DPAGODLP_02278,p24.A1|DPAGODLP_02279	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p24.A1|DPAGODLP_02289	p24.A1|DPAGODLP_02289	p24.A1|DPAGODLP_02289	1	Type_IV_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p24.A1|DPAGODLP_02880	p24.A1|DPAGODLP_02883	p24.A1|DPAGODLP_02880,p24.A1|DPAGODLP_02881,p24.A1|DPAGODLP_02882,p24.A1|DPAGODLP_02883	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Hachiman_3	Hachiman	Hachiman	p24.A1|DPAGODLP_04604	p24.A1|DPAGODLP_04605	p24.A1|DPAGODLP_04604,p24.A1|DPAGODLP_04605	2	HamB,HamA_1
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p24.A1|DPAGODLP_05225	p24.A1|DPAGODLP_05225	p24.A1|DPAGODLP_05225	1	Type_IV_REases
