sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Gabija_1	Gabija	Gabija	p22.E5|CHGMBBLN_00231	p22.E5|CHGMBBLN_00232	p22.E5|CHGMBBLN_00231,p22.E5|CHGMBBLN_00232	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p22.E5|CHGMBBLN_00234	p22.E5|CHGMBBLN_00235	p22.E5|CHGMBBLN_00234,p22.E5|CHGMBBLN_00235	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p22.E5|CHGMBBLN_00237	p22.E5|CHGMBBLN_00238	p22.E5|CHGMBBLN_00237,p22.E5|CHGMBBLN_00238	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p22.E5|CHGMBBLN_00519	p22.E5|CHGMBBLN_00522	p22.E5|CHGMBBLN_00519,p22.E5|CHGMBBLN_00520,p22.E5|CHGMBBLN_00521,p22.E5|CHGMBBLN_00522	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Hachiman_3	Hachiman	Hachiman	p22.E5|CHGMBBLN_00681	p22.E5|CHGMBBLN_00682	p22.E5|CHGMBBLN_00681,p22.E5|CHGMBBLN_00682	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p22.E5|CHGMBBLN_02189	p22.E5|CHGMBBLN_02189	p22.E5|CHGMBBLN_02189	1	ATPase
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p22.E5|CHGMBBLN_02713	p22.E5|CHGMBBLN_02716	p22.E5|CHGMBBLN_02713,p22.E5|CHGMBBLN_02716	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p22.E5|CHGMBBLN_03102	p22.E5|CHGMBBLN_03103	p22.E5|CHGMBBLN_03102,p22.E5|CHGMBBLN_03103	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p22.E5|CHGMBBLN_03113	p22.E5|CHGMBBLN_03113	p22.E5|CHGMBBLN_03113	1	Type_IV_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p22.E5|CHGMBBLN_04764	p22.E5|CHGMBBLN_04764	p22.E5|CHGMBBLN_04764	1	Type_IV_REases
