sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p6.E8|MPPFMNOJ_00291	p6.E8|MPPFMNOJ_00291	p6.E8|MPPFMNOJ_00291	1	ATPase
UserReplicon_Gabija_1	Gabija	Gabija	p6.E8|MPPFMNOJ_00700	p6.E8|MPPFMNOJ_00701	p6.E8|MPPFMNOJ_00700,p6.E8|MPPFMNOJ_00701	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p6.E8|MPPFMNOJ_00703	p6.E8|MPPFMNOJ_00704	p6.E8|MPPFMNOJ_00703,p6.E8|MPPFMNOJ_00704	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p6.E8|MPPFMNOJ_00706	p6.E8|MPPFMNOJ_00707	p6.E8|MPPFMNOJ_00706,p6.E8|MPPFMNOJ_00707	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p6.E8|MPPFMNOJ_00988	p6.E8|MPPFMNOJ_00991	p6.E8|MPPFMNOJ_00988,p6.E8|MPPFMNOJ_00989,p6.E8|MPPFMNOJ_00990,p6.E8|MPPFMNOJ_00991	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Septu_9	Septu	Septu	p6.E8|MPPFMNOJ_03309	p6.E8|MPPFMNOJ_03310	p6.E8|MPPFMNOJ_03309,p6.E8|MPPFMNOJ_03310	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p6.E8|MPPFMNOJ_03320	p6.E8|MPPFMNOJ_03320	p6.E8|MPPFMNOJ_03320	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p6.E8|MPPFMNOJ_03658	p6.E8|MPPFMNOJ_03661	p6.E8|MPPFMNOJ_03658,p6.E8|MPPFMNOJ_03661	2	Type_I_MTases,Type_I_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p6.E8|MPPFMNOJ_04082	p6.E8|MPPFMNOJ_04082	p6.E8|MPPFMNOJ_04082	1	Type_IV_REases
UserReplicon_Hachiman_3	Hachiman	Hachiman	p6.E8|MPPFMNOJ_04402	p6.E8|MPPFMNOJ_04403	p6.E8|MPPFMNOJ_04402,p6.E8|MPPFMNOJ_04403	2	HamB,HamA_1
