sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Gabija_1	Gabija	Gabija	p4.D9|PHINOIKB_00375	p4.D9|PHINOIKB_00376	p4.D9|PHINOIKB_00375,p4.D9|PHINOIKB_00376	2	GajA,GajB
UserReplicon_Hachiman_2	Hachiman	Hachiman	p4.D9|PHINOIKB_00378	p4.D9|PHINOIKB_00379	p4.D9|PHINOIKB_00378,p4.D9|PHINOIKB_00379	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p4.D9|PHINOIKB_00381	p4.D9|PHINOIKB_00382	p4.D9|PHINOIKB_00381,p4.D9|PHINOIKB_00382	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p4.D9|PHINOIKB_00663	p4.D9|PHINOIKB_00666	p4.D9|PHINOIKB_00663,p4.D9|PHINOIKB_00664,p4.D9|PHINOIKB_00665,p4.D9|PHINOIKB_00666	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p4.D9|PHINOIKB_01339	p4.D9|PHINOIKB_01339	p4.D9|PHINOIKB_01339	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p4.D9|PHINOIKB_02953	p4.D9|PHINOIKB_02956	p4.D9|PHINOIKB_02953,p4.D9|PHINOIKB_02956	2	Type_I_REases,Type_I_MTases
UserReplicon_Septu_9	Septu	Septu	p4.D9|PHINOIKB_03099	p4.D9|PHINOIKB_03100	p4.D9|PHINOIKB_03099,p4.D9|PHINOIKB_03100	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p4.D9|PHINOIKB_03110	p4.D9|PHINOIKB_03110	p4.D9|PHINOIKB_03110	1	Type_IV_REases
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p4.D9|PHINOIKB_04524	p4.D9|PHINOIKB_04524	p4.D9|PHINOIKB_04524	1	ATPase
UserReplicon_Hachiman_3	Hachiman	Hachiman	p4.D9|PHINOIKB_04847	p4.D9|PHINOIKB_04848	p4.D9|PHINOIKB_04847,p4.D9|PHINOIKB_04848	2	HamB,HamA_1
