sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Hachiman_2	Hachiman	Hachiman	p12.C2|MJDIMCIE_00076	p12.C2|MJDIMCIE_00077	p12.C2|MJDIMCIE_00076,p12.C2|MJDIMCIE_00077	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p12.C2|MJDIMCIE_00937	p12.C2|MJDIMCIE_00937	p12.C2|MJDIMCIE_00937	1	ATPase
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p12.C2|MJDIMCIE_02122	p12.C2|MJDIMCIE_02122	p12.C2|MJDIMCIE_02122	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p12.C2|MJDIMCIE_02899	p12.C2|MJDIMCIE_02902	p12.C2|MJDIMCIE_02899,p12.C2|MJDIMCIE_02902	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p12.C2|MJDIMCIE_03940	p12.C2|MJDIMCIE_03941	p12.C2|MJDIMCIE_03940,p12.C2|MJDIMCIE_03941	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p12.C2|MJDIMCIE_03951	p12.C2|MJDIMCIE_03951	p12.C2|MJDIMCIE_03951	1	Type_IV_REases
UserReplicon_Gabija_1	Gabija	Gabija	p12.C2|MJDIMCIE_04545	p12.C2|MJDIMCIE_04546	p12.C2|MJDIMCIE_04545,p12.C2|MJDIMCIE_04546	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p12.C2|MJDIMCIE_04548	p12.C2|MJDIMCIE_04549	p12.C2|MJDIMCIE_04548,p12.C2|MJDIMCIE_04549	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p12.C2|MJDIMCIE_04551	p12.C2|MJDIMCIE_04552	p12.C2|MJDIMCIE_04551,p12.C2|MJDIMCIE_04552	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p12.C2|MJDIMCIE_04833	p12.C2|MJDIMCIE_04836	p12.C2|MJDIMCIE_04833,p12.C2|MJDIMCIE_04834,p12.C2|MJDIMCIE_04835,p12.C2|MJDIMCIE_04836	4	JetD_I,JetC_I,JetB_I,JetA_I
