sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Retron_III_7	Retron	Retron_III	p26.D4|EOPGDFCL_00658	p26.D4|EOPGDFCL_00659	p26.D4|EOPGDFCL_00658,p26.D4|EOPGDFCL_00659	2	RT_Tot,PRTase_WH
UserReplicon_Hachiman_2	Hachiman	Hachiman	p26.D4|EOPGDFCL_00661	p26.D4|EOPGDFCL_00662	p26.D4|EOPGDFCL_00661,p26.D4|EOPGDFCL_00662	2	HamA_2,HamB
UserReplicon_Gabija_1	Gabija	Gabija	p26.D4|EOPGDFCL_00664	p26.D4|EOPGDFCL_00665	p26.D4|EOPGDFCL_00664,p26.D4|EOPGDFCL_00665	2	GajB,GajA
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p26.D4|EOPGDFCL_01381	p26.D4|EOPGDFCL_01384	p26.D4|EOPGDFCL_01381,p26.D4|EOPGDFCL_01382,p26.D4|EOPGDFCL_01383,p26.D4|EOPGDFCL_01384	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Septu_9	Septu	Septu	p26.D4|EOPGDFCL_02378	p26.D4|EOPGDFCL_02379	p26.D4|EOPGDFCL_02378,p26.D4|EOPGDFCL_02379	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p26.D4|EOPGDFCL_02389	p26.D4|EOPGDFCL_02389	p26.D4|EOPGDFCL_02389	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p26.D4|EOPGDFCL_03448	p26.D4|EOPGDFCL_03451	p26.D4|EOPGDFCL_03448,p26.D4|EOPGDFCL_03451	2	Type_I_MTases,Type_I_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p26.D4|EOPGDFCL_04800	p26.D4|EOPGDFCL_04800	p26.D4|EOPGDFCL_04800	1	Type_IV_REases
UserReplicon_Hachiman_3	Hachiman	Hachiman	p26.D4|EOPGDFCL_04990	p26.D4|EOPGDFCL_04991	p26.D4|EOPGDFCL_04990,p26.D4|EOPGDFCL_04991	2	HamB,HamA_1
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p26.D4|EOPGDFCL_05060	p26.D4|EOPGDFCL_05060	p26.D4|EOPGDFCL_05060	1	ATPase
