sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p11.B11|COHGBIHD_00474	p11.B11|COHGBIHD_00474	p11.B11|COHGBIHD_00474	1	Type_IV_REases
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p11.B11|COHGBIHD_01298	p11.B11|COHGBIHD_01301	p11.B11|COHGBIHD_01298,p11.B11|COHGBIHD_01301	2	Type_I_MTases,Type_I_REases
UserReplicon_Septu_9	Septu	Septu	p11.B11|COHGBIHD_01389	p11.B11|COHGBIHD_01390	p11.B11|COHGBIHD_01389,p11.B11|COHGBIHD_01390	2	PtuB,PtuA
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p11.B11|COHGBIHD_01400	p11.B11|COHGBIHD_01400	p11.B11|COHGBIHD_01400	1	Type_IV_REases
UserReplicon_Hachiman_2	Hachiman	Hachiman	p11.B11|COHGBIHD_01715	p11.B11|COHGBIHD_01716	p11.B11|COHGBIHD_01715,p11.B11|COHGBIHD_01716	2	HamB,HamA_1
UserReplicon_Gabija_1	Gabija	Gabija	p11.B11|COHGBIHD_04221	p11.B11|COHGBIHD_04222	p11.B11|COHGBIHD_04221,p11.B11|COHGBIHD_04222	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p11.B11|COHGBIHD_04224	p11.B11|COHGBIHD_04225	p11.B11|COHGBIHD_04224,p11.B11|COHGBIHD_04225	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p11.B11|COHGBIHD_04227	p11.B11|COHGBIHD_04228	p11.B11|COHGBIHD_04227,p11.B11|COHGBIHD_04228	2	PRTase_WH,RT_Tot
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p11.B11|COHGBIHD_04509	p11.B11|COHGBIHD_04512	p11.B11|COHGBIHD_04509,p11.B11|COHGBIHD_04510,p11.B11|COHGBIHD_04511,p11.B11|COHGBIHD_04512	4	JetD_I,JetC_I,JetB_I,JetA_I
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p11.B11|COHGBIHD_05183	p11.B11|COHGBIHD_05183	p11.B11|COHGBIHD_05183	1	ATPase
