sys_id	type	subtype	sys_beg	sys_end	protein_in_syst	genes_count	name_of_profiles_in_sys
UserReplicon_Hachiman_2	Hachiman	Hachiman	p25.H3|KCGOKPAA_00076	p25.H3|KCGOKPAA_00077	p25.H3|KCGOKPAA_00076,p25.H3|KCGOKPAA_00077	2	HamB,HamA_1
UserReplicon_Gabija_1	Gabija	Gabija	p25.H3|KCGOKPAA_00789	p25.H3|KCGOKPAA_00790	p25.H3|KCGOKPAA_00789,p25.H3|KCGOKPAA_00790	2	GajA,GajB
UserReplicon_Hachiman_3	Hachiman	Hachiman	p25.H3|KCGOKPAA_00792	p25.H3|KCGOKPAA_00793	p25.H3|KCGOKPAA_00792,p25.H3|KCGOKPAA_00793	2	HamB,HamA_2
UserReplicon_Retron_III_7	Retron	Retron_III	p25.H3|KCGOKPAA_00795	p25.H3|KCGOKPAA_00796	p25.H3|KCGOKPAA_00795,p25.H3|KCGOKPAA_00796	2	PRTase_WH,RT_Tot
UserReplicon_RM_Type_I_4	RM	RM_Type_I	p25.H3|KCGOKPAA_01126	p25.H3|KCGOKPAA_01129	p25.H3|KCGOKPAA_01126,p25.H3|KCGOKPAA_01129	2	Type_I_MTases,Type_I_REases
UserReplicon_Wadjet_I_10	Wadjet	Wadjet_I	p25.H3|KCGOKPAA_01508	p25.H3|KCGOKPAA_01511	p25.H3|KCGOKPAA_01508,p25.H3|KCGOKPAA_01509,p25.H3|KCGOKPAA_01510,p25.H3|KCGOKPAA_01511	4	JetA_I,JetB_I,JetC_I,JetD_I
UserReplicon_Rst_ATPase_8	Rst_ATPase	Rst_ATPase	p25.H3|KCGOKPAA_02965	p25.H3|KCGOKPAA_02965	p25.H3|KCGOKPAA_02965	1	ATPase
UserReplicon_Septu_9	Septu	Septu	p25.H3|KCGOKPAA_03920	p25.H3|KCGOKPAA_03921	p25.H3|KCGOKPAA_03920,p25.H3|KCGOKPAA_03921	2	PtuB,PtuA
UserReplicon_RM_Type_IV_5	RM	RM_Type_IV	p25.H3|KCGOKPAA_03931	p25.H3|KCGOKPAA_03931	p25.H3|KCGOKPAA_03931	1	Type_IV_REases
UserReplicon_RM_Type_IV_6	RM	RM_Type_IV	p25.H3|KCGOKPAA_04801	p25.H3|KCGOKPAA_04801	p25.H3|KCGOKPAA_04801	1	Type_IV_REases
