plate11.A10.pilon.contigs_renamed.phages_lysogenic.fna, 46227 17635
plate11.A11.pilon.contigs_renamed.phages_lysogenic.fna, 15936 58175
plate11.A12.pilon.contigs_renamed.phages_lysogenic.fna, 15420 40207
plate11.A1.pilon.contigs_renamed.phages_lysogenic.fna, 15661
plate11.A2.pilon.contigs_renamed.phages_lysogenic.fna, 47037 53135 17811
plate11.A3.pilon.contigs_renamed.phages_lysogenic.fna, 15595
plate11.A4.pilon.contigs_renamed.phages_lysogenic.fna, 33391 41728
plate11.A5.pilon.contigs_renamed.phages_lysogenic.fna, 15841
plate11.A6.pilon.contigs_renamed.phages_lysogenic.fna, 79159
plate11.A7.pilon.contigs_renamed.phages_lysogenic.fna, 15935
plate11.A8.pilon.contigs_renamed.phages_lysogenic.fna, 37281 53557 15595
plate11.A9.pilon.contigs_renamed.phages_lysogenic.fna, 28035 53642 15990 25897
plate11.B10.pilon.contigs_renamed.phages_lysogenic.fna, 19294 10932
plate11.B11.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.B12.pilon.contigs_renamed.phages_lysogenic.fna, 45607 17635
plate11.B1.pilon.contigs_renamed.phages_lysogenic.fna, 15841
plate11.B2.pilon.contigs_renamed.phages_lysogenic.fna, 15841
plate11.B4.pilon.contigs_renamed.phages_lysogenic.fna, 36306 35109
plate11.B5.pilon.contigs_renamed.phages_lysogenic.fna, 35109 36306
plate11.B6.pilon.contigs_renamed.phages_lysogenic.fna, 17810 14776 31296
plate11.B7.pilon.contigs_renamed.phages_lysogenic.fna, 47314 5427 44655
plate11.B8.pilon.contigs_renamed.phages_lysogenic.fna, 15936 43592
plate11.B9.pilon.contigs_renamed.phages_lysogenic.fna, 15595
plate11.C10.pilon.contigs_renamed.phages_lysogenic.fna, 15595
plate11.C11.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.C12.pilon.contigs_renamed.phages_lysogenic.fna, 17635 45607
plate11.C1.pilon.contigs_renamed.phages_lysogenic.fna, 15841
plate11.C2.pilon.contigs_renamed.phages_lysogenic.fna, 15841
plate11.C3.pilon.contigs_renamed.phages_lysogenic.fna, 19294
plate11.C4.pilon.contigs_renamed.phages_lysogenic.fna, 15420 45607
plate11.C5.pilon.contigs_renamed.phages_lysogenic.fna, 36306 35109
plate11.C6.pilon.contigs_renamed.phages_lysogenic.fna, 6788 55534
plate11.C7.pilon.contigs_renamed.phages_lysogenic.fna, 44655 61570 5427
plate11.C8.pilon.contigs_renamed.phages_lysogenic.fna, 19294
plate11.C9.pilon.contigs_renamed.phages_lysogenic.fna, 17079 10932
plate11.D1.pilon.contigs_renamed.phages_lysogenic.fna, 18332 58175
plate11.D2.pilon.contigs_renamed.phages_lysogenic.fna, 10932 19294
plate11.D3.pilon.contigs_renamed.phages_lysogenic.fna, 28828 76245 30419
plate11.D4.pilon.contigs_renamed.phages_lysogenic.fna, 31651 8027 46223
plate11.D6.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.D8.pilon.contigs_renamed.phages_lysogenic.fna, 18084
plate11.D9.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.E10.pilon.contigs_renamed.phages_lysogenic.fna, 37281 15595 61168
plate11.E11.pilon.contigs_renamed.phages_lysogenic.fna, 13517 50080 38437 31622 36870 43509
plate11.E1.pilon.contigs_renamed.phages_lysogenic.fna, 17810 56773 33790
plate11.E2.pilon.contigs_renamed.phages_lysogenic.fna, 10932 19294
plate11.E3.pilon.contigs_renamed.phages_lysogenic.fna, 8347 58198 14183 16606 9277
plate11.E4.pilon.contigs_renamed.phages_lysogenic.fna, 12982 7908 16606 9223 16459 43673
plate11.E6.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.E7.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.E8.pilon.contigs_renamed.phages_lysogenic.fna, 15689
plate11.E9.pilon.contigs_renamed.phages_lysogenic.fna, 17810 37281 53557
plate11.F10.pilon.contigs_renamed.phages_lysogenic.fna, 15936
plate11.F11.pilon.contigs_renamed.phages_lysogenic.fna, 16519 35229
plate11.F1.pilon.contigs_renamed.phages_lysogenic.fna, 43955 65592 15452
plate11.F2.pilon.contigs_renamed.phages_lysogenic.fna, 41432 39305 16695
plate11.F3.pilon.contigs_renamed.phages_lysogenic.fna, 58175 15936
plate11.F6.pilon.contigs_renamed.phages_lysogenic.fna, 23668 15936 33728
