plate11.A10.pilon.contigs_renamed.phages_combined.fna, 17689 46227
plate11.A11.pilon.contigs_renamed.phages_combined.fna, 15936 58175
plate11.A12.pilon.contigs_renamed.phages_combined.fna, 40207 15420
plate11.A1.pilon.contigs_renamed.phages_combined.fna, 15661
plate11.A2.pilon.contigs_renamed.phages_combined.fna, 17811 53135 47037
plate11.A3.pilon.contigs_renamed.phages_combined.fna, 15595
plate11.A4.pilon.contigs_renamed.phages_combined.fna, 33391 41728
plate11.A5.pilon.contigs_renamed.phages_combined.fna, 15841
plate11.A6.pilon.contigs_renamed.phages_combined.fna, 79159
plate11.A7.pilon.contigs_renamed.phages_combined.fna, 15935
plate11.A8.pilon.contigs_renamed.phages_combined.fna, 53557 37281 15595
plate11.A9.pilon.contigs_renamed.phages_combined.fna, 53642 15990 25897 28035
plate11.B10.pilon.contigs_renamed.phages_combined.fna, 19294 10932
plate11.B11.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.B12.pilon.contigs_renamed.phages_combined.fna, 17635 45607
plate11.B1.pilon.contigs_renamed.phages_combined.fna, 15841
plate11.B2.pilon.contigs_renamed.phages_combined.fna, 15841
plate11.B4.pilon.contigs_renamed.phages_combined.fna, 36306 35109
plate11.B5.pilon.contigs_renamed.phages_combined.fna, 35109 36306
plate11.B6.pilon.contigs_renamed.phages_combined.fna, 14776 17810 31296 25410
plate11.B7.pilon.contigs_renamed.phages_combined.fna, 47314 44655 5427
plate11.B8.pilon.contigs_renamed.phages_combined.fna, 15936 43592
plate11.B9.pilon.contigs_renamed.phages_combined.fna, 15595
plate11.C10.pilon.contigs_renamed.phages_combined.fna, 15595
plate11.C11.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.C12.pilon.contigs_renamed.phages_combined.fna, 45607 17635
plate11.C1.pilon.contigs_renamed.phages_combined.fna, 15841
plate11.C2.pilon.contigs_renamed.phages_combined.fna, 15841
plate11.C3.pilon.contigs_renamed.phages_combined.fna, 19294
plate11.C4.pilon.contigs_renamed.phages_combined.fna, 15420 45607
plate11.C5.pilon.contigs_renamed.phages_combined.fna, 36306 35109
plate11.C6.pilon.contigs_renamed.phages_combined.fna, 6788 55534
plate11.C7.pilon.contigs_renamed.phages_combined.fna, 5427 61570 44655
plate11.C8.pilon.contigs_renamed.phages_combined.fna, 19294
plate11.C9.pilon.contigs_renamed.phages_combined.fna, 10932 17079
plate11.D1.pilon.contigs_renamed.phages_combined.fna, 58175 18332
plate11.D2.pilon.contigs_renamed.phages_combined.fna, 10932 19294
plate11.D3.pilon.contigs_renamed.phages_combined.fna, 76245 28828 30419
plate11.D4.pilon.contigs_renamed.phages_combined.fna, 8027 46223 31651
plate11.D6.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.D8.pilon.contigs_renamed.phages_combined.fna, 18084
plate11.D9.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.E10.pilon.contigs_renamed.phages_combined.fna, 15595 61168 37281
plate11.E11.pilon.contigs_renamed.phages_combined.fna, 43509 31622 50080 38437 13517 36870
plate11.E1.pilon.contigs_renamed.phages_combined.fna, 56773 33790 17810
plate11.E2.pilon.contigs_renamed.phages_combined.fna, 10932 19294
plate11.E3.pilon.contigs_renamed.phages_combined.fna, 16606 14183 9277 2085 3303 58198 8347 4645
plate11.E4.pilon.contigs_renamed.phages_combined.fna, 43673 1718 8845 16606 7908 9223 16459 12982
plate11.E6.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.E7.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.E8.pilon.contigs_renamed.phages_combined.fna, 15689
plate11.E9.pilon.contigs_renamed.phages_combined.fna, 37281 53557 17810
plate11.F10.pilon.contigs_renamed.phages_combined.fna, 15936
plate11.F11.pilon.contigs_renamed.phages_combined.fna, 16519 35229
plate11.F1.pilon.contigs_renamed.phages_combined.fna, 15452 65592 43955
plate11.F2.pilon.contigs_renamed.phages_combined.fna, 16695 39305 41432
plate11.F3.pilon.contigs_renamed.phages_combined.fna, 58175 15936
plate11.F6.pilon.contigs_renamed.phages_combined.fna, 23668 33728 15936
plate11.F7.pilon.contigs_renamed.phages_combined.fna, 67934 16615
plate11.F8.pilon.contigs_renamed.phages_combined.fna, 15936 58175
plate11.F9.pilon.contigs_renamed.phages_combined.fna, 52874 49271 36347
plate11.G10.pilon.contigs_renamed.phages_combined.fna, 18332 54100 44155
plate11.G11.pilon.contigs_renamed.phages_combined.fna, 17636 48409 82745
plate11.G1.pilon.contigs_renamed.phages_combined.fna, 37434 16723 33063 50442
plate11.G2.pilon.contigs_renamed.phages_combined.fna, 3578 1718 1570 52396
plate11.G3.pilon.contigs_renamed.phages_combined.fna, 31998 43046 10194 33693
plate11.G4.pilon.contigs_renamed.phages_combined.fna, 15669 70977 52660
plate11.G5.pilon.contigs_renamed.phages_combined.fna, 16723 33063 50442
plate11.G7.pilon.contigs_renamed.phages_combined.fna, 38958 50141 15662
plate11.G8.pilon.contigs_renamed.phages_combined.fna, 55755 15567
plate11.G9.pilon.contigs_renamed.phages_combined.fna, 20753 7613 16725 12608 9485 6800 2956 42354
plate11.H10.pilon.contigs_renamed.phages_combined.fna, 44155 18332 54100
plate11.H11.pilon.contigs_renamed.phages_combined.fna, 20615 40199
plate11.H12.pilon.contigs_renamed.phages_combined.fna, 70977 46333 15669
plate11.H1.pilon.contigs_renamed.phages_combined.fna, 37430 16723 50442 33063
plate11.H3.pilon.contigs_renamed.phages_combined.fna, 46741
plate11.H4.pilon.contigs_renamed.phages_combined.fna, 38958 50141 16725
plate11.H5.pilon.contigs_renamed.phages_combined.fna, 51809 33063 19191
plate11.H6.pilon.contigs_renamed.phages_combined.fna, 4337 31880 18350 44551
plate11.H7.pilon.contigs_renamed.phages_combined.fna, 15662 50141 38958
plate11.H8.pilon.contigs_renamed.phages_combined.fna, 15567 55755
